Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #

"2u2","Capacitor SMD 0603","C1, C2, C7, C13","CAP_0603","CAP_0603","4","C23630"
"22u","Capacitor SMD 0805","C3, C4","CAP_0805","CAP_0805","2","C45783"
"10p","Capacitor SMD 0402","C5, C6","CAP_0402","CAP_0402","2","C32949"
"100n","Capacitor SMD 0402","C8, C9, C10, C11, C12, C14, C15, C16, C17","CAP_0402","CAP_0402","9","C1525"
"2n2","Capacitor SMD 0402","C18","CAP_0402","CAP_0402","1","C307333"
"GREEN","LED 0603 GREEN SMD","D1","LED_0603_GREEN","LED_0603_GREEN","1","C7421369"
"RED","LED 0402 RED SMD","D2","LED_0402_RED","LED_0402_RED","1","C94740"
"240R","Ferrite Bead SMD 0603","FB1","FB_0603","FB_0603","1","C42102"
"473460001","","J1","MICRO-USB-SMD_47346-0001","473460001","1","C132560"
"SM06B-GHS-TB","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH","J3","SM06B-GHS-TB","SM06B-GHS-TB","1","C133065"
"1k","Resistor SMD 0402","R1, R5","RES_0402","RES_0402","2","C11702"
"2k2","Resistor SMD 0402","R3, R4","RES_0402","RES_0402","2","C25879"
"10k","Resistor SMD 0402","R6, R7","RES_0402","RES_0402","2","C25531"
"AMS1117-3.3","","U1","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","AMS1117-3.3_C6186","1","C6186"
"STM32F411CEU6","","U2","UFQFPN-48_L7.0-W7.0-P0.50-BL-EP","STM32F411CEU6","1","3A991A2"
"MPU-6050","","U3","QFN-24","MPU-6050","1","C24112"
"24MHz","Crystal SMD 24MHz 10PPM 7pF 3225","X1","XTAL_3225","TSX-3225_24.0000MF15X-AC","1","C9006"
